,binary_search_min_step,grad_descent
90,-17.0,-16.999999999999964
91,-17.0,-16.999999999999964
92,-17.0,-16.999999999999964
93,-17.0,-16.999999999999964
94,-17.0,-16.999999999999964
95,-17.0,-16.999999999999964
96,-17.0,-16.999999999999964
97,-17.0,-16.999999999999964
98,-17.0,-16.999999999999964
99,-17.0,-16.999999999999964
100,-17.0,-16.999999999999964
101,-17.0,-16.999999999999964
102,-17.0,-16.999999999999964
103,-17.0,-16.999999999999964
104,-17.0,-16.999999999999964
105,-17.0,-16.999999999999964
106,-17.0,-16.999999999999964
107,-17.0,-16.999999999999964
108,-17.0,-16.999999999999964
109,-17.0,-16.999999999999964
110,-17.0,-16.999999999999964
111,-17.0,-16.999999999999964
112,-17.0,-16.999999999999964
113,-17.0,-16.999999999999964
114,-17.0,-16.999999999999964
115,-17.0,-16.999999999999964
116,-17.0,-16.999999999999964
117,-17.0,-16.999999999999964
118,-17.0,-16.999999999999964
119,-17.0,-16.999999999999964
120,-17.0,-16.999999999999964
121,-17.0,-16.999999999999964
122,-17.0,-16.999999999999964
123,-17.0,-16.999999999999964
124,-17.0,-16.999999999999964
125,-17.0,-16.999999999999964
126,-17.0,-16.999999999999964
127,-17.0,-16.999999999999964
128,-17.0,-16.999999999999964
129,-17.0,-16.999999999999964
130,-17.0,-16.999999999999964
131,-17.0,-16.999999999999964
132,-17.0,-16.999999999999964
133,-17.0,-16.999999999999964
134,-17.0,-16.999999999999964
135,-17.0,-16.999999999999964
136,-17.0,-16.999999999999964
137,-17.0,-16.999999999999964
138,-17.0,-16.999999999999964
139,-17.0,-16.999999999999964
140,-17.0,-16.999999999999964
141,-17.0,-16.999999999999964
142,-17.0,-16.999999999999964
143,-17.0,-16.999999999999964
144,-17.0,-16.999999999999964
145,-17.0,-16.999999999999964
146,-17.0,-16.999999999999964
147,-17.0,-16.999999999999964
148,-17.0,-16.999999999999964
149,-17.0,-16.999999999999964
150,-17.0,-16.999999999999964
151,-17.0,-16.999999999999964
152,-17.0,-16.999999999999964
153,-17.0,-16.999999999999964
154,-17.0,-16.999999999999964
155,-17.0,-16.999999999999964
156,-17.0,-16.999999999999964
157,-17.0,-16.999999999999964
158,-17.0,-16.999999999999964
159,-17.0,-16.999999999999964
160,-17.0,-16.999999999999964
161,-17.0,-16.999999999999964
162,-17.0,-16.999999999999964
163,-17.0,-16.999999999999964
164,-17.0,-16.999999999999964
165,-17.0,-16.999999999999964
166,-17.0,-16.999999999999964
167,-17.0,-16.999999999999964
168,-17.0,-16.999999999999964
169,-17.0,-16.999999999999964
170,-17.0,-16.999999999999964
171,-17.0,-16.999999999999964
172,-17.0,-16.999999999999964
173,-17.0,-16.999999999999964
174,-17.0,-16.999999999999964
175,-17.0,-16.999999999999964
176,-17.0,-16.999999999999964
177,-17.0,-16.999999999999964
178,-17.0,-16.999999999999964
179,-17.0,-16.999999999999964
180,-17.0,-16.999999999999964
181,-17.0,-16.999999999999964
182,-17.0,-16.999999999999964
183,-17.0,-16.999999999999964
184,-17.0,-16.999999999999964
185,-17.0,-16.999999999999964
186,-17.0,-16.999999999999964
187,-17.0,-16.999999999999964
188,-17.0,-16.999999999999964
189,-17.0,-16.999999999999964
190,-17.0,-16.999999999999964
191,-17.0,-16.999999999999964
192,-17.0,-16.999999999999964
193,-17.0,-16.999999999999964
194,-17.0,-16.999999999999964
195,-17.0,-16.999999999999964
196,-17.0,-16.999999999999964
197,-17.0,-16.999999999999964
198,-17.0,-16.999999999999964
199,-17.0,-16.999999999999964
200,-17.0,-16.999999999999964
